LDC_Translation_1	LDC_Translation_2	LDC_Translation_3
Thomas Reed, who has worked as a weapon designer in America's Liver National Laboratory, wrote this book in cooperation with Danny Stillman, former Director of Technical Intelligence at Los Alamos National Laboratory.	Thomas Reed, who has worked as a weapon designer in Lawrence Livermore National Laboratory of America, has written this book in collaboration with Danny Stillman,the former Director of Technical Intelligence of Los Alamos National Laboratory.	Thomas Reed, who has worked as Weapons Designer at America's Lever National Laboratory, wrote this book in coordination with former Director of Technical Intelligence at the Alamos National Laboratory.
In the book, entitled "Nuclear Express: The Political History and Spread of the Bomb," both writers have claimed that any country that has made an atomic bomb has either stolen nuclear secrets from another country or has done so with the support of another nuclear power.	This book has been written with the title 'Nuclear Express:A Political History of the Bomb And its Proliferation,' and in this both the authors have claimed that any country that has made an atomic bomb has either stolen the nuclear secrets of another country or has had cooperation with some other nuclear power.	This book has been written under the title, 'The Nuclear Express: A Political History of the Bomb and Its Proliferation' and both the writers have claimed in it that every country that has made the atom bomb has either stolen nuclear secrets from another country or has had the cooperation of another atomic power.
During one of the interviews with US News, Thomas Reed said that China tested Pakistan's first nuclear bomb in 1990, during the time of Benazir Bhutto.	Thomas Reed said in an interview to US News that in 1990, in the era of Benazir Bhutto, China had conducted the experiment of Pakistan's first nuclear bomb.	Thomas Reed said in an interview to the US News that in 1990 China tested Pakistan's first nuclear bomb during Benazir Bhutto regime.
He said that his belief that China tested Pakistan's first nuclear bomb is based on several reasons,	Thomas Reed said that he is convinced on the basis of several reasons that China has conducted the experiment of Pakistan's first nuclear bomb.	Thomas Reed said that he believes, based on many reasons, that China had tested Pakistan's first atomic bomb.
including the design of the bomb and information collected from conversations with Chinese scientists.	Those reasons include the design of the bomb and information obtained while talking to the scientists of China.	The reasons include the design of that bomb and information received during conversations with Chinese scientists.
He said that this is why Pakistan was able to respond in 1998 to India's nuclear test with their own test only two weeks and three days later.	He further said that this was the reason why in 1998, Pakistan was able to conduct a nuclear experiment just in two weeks and three days in response to India's nuclear experiment.	He further said that this is why Pakistan was able to carry out atomic test within only two weeks and three days in response to India's atomic tests in 1998.
Thomas Reed reminded the interviewer how, when Russia conducted a nuclear test in 1961, America responded with its own test only 17 days later, despite the fact that it had had the bomb for quite some time.	Thomas Reed also reminded that in 1961 Russia suddenly carried out a nuclear experiment and it took 17 days for America to do the experiment in response to this, although America already had this bomb for awhile.	Thomas Reed recalled that Russia had suddenly conducted an atomic test in 1961 and in response to it, it took America seventeen days to conduct a test in spite of the fact that America had that bomb for a long time.
He added that the nuclear bomb, which Pakistan tested in May 1998, was very carefully made and Pakistani scientists had full confidence in it.	He further said that the atom bomb, whose experiment was done in 1998 by Pakistan, was developed with extreme care and Pakistani scientists had full confidence in it.	He further said that the atom bomb tested by Pakistan in May, 1998, had been made very carefully and Pakistani scientists had full confidence in it.
When Thomas Reed was asked why China would provide Pakistan with nuclear technology, he responded that it is because India is a common enemy to both Pakistan and China.	When Thomas Reed was asked if China had provided the nuclear technology to Pakistan, he replied that India was a common enemy of China and Pakistan.	When asked, why China provided nuclear technology to Pakistan, Thomas Reed replied, it was because India was the common enemy of China and Pakistan.
He said that there is evidence that Dr. Abdul Qadir Khan used the Chinese design, and that this was later verified through documents acquired from Libya.	He said that the proof to this also exists in that Dr. Abdul Qadeer Khan used the Chinese design, and, apart from this, the documents retrieved from Libya afterwards also proved this.	He said that there was also evidence that Dr. Abdul Qadeer Khan had in fact used Chinese design, and in addition, the documents that were later acquired from Libya confirm this.
When asked whether it is common for countries to collaborate in nuclear testing, he gave the example of how America expressly conducted a nuclear test for Britain in 1990 in the Nevada desert.	To another question as to whether it is usual to carry out nuclear experiments with others, he said that in 1990 America openly conducted a nuclear experiment for Britain in the desert of Nevada.	Responding to another question as to whether joint atomic tests are common practice, he said that America had openly conducted nuclear test in the Nevada Desert for Britain in 1990.
He said they also speculate that Israel was provided access to the results of this test.	He said that we may also presume that Israel, too, was given access to the results of this experiment.	He said that we also speculate that Israel was also provided access to the results of this test.
Reed was also asked whether China has plans for continued nuclear expansion.	Thomas Reed was also asked whether China's nuclear proliferation program is active.	Thomas Reed was also asked whether China's atomic proliferation program continues.
He responded that China has been providing raw materials, guidelines, and designs for nuclear installation in the Iranian city of Isfahan since 1991,	On this, Thomas Reid said that since 1991, China has been providing raw material, instructions, and designs for the nuclear structure situated in Ispahan, a city in Iran.	At this, Thomas Reed said that since 1991China had been providing raw materials, instructions and design for the nuclear installation in the Iranian city, Isfahan.
and has provided Iran with a production plant in Karaj.	Besides this, China has also provided an enrichment plant to Iran in Karaj.	In addition to this, China also provided Iran with the enrichment plant in Karaj
He said that China has been providing nuclear technology to Iran, Syria, Pakistan, Egypt, Libya and Yemen through North Korea.	He said that China has been providing nuclear technology to Iran, Syria, Pakistan, Egypt, Libya, and Yemen through North Korea.	He said that China had been providing atomic technology to Iran, Syria, Pakistan, Egypt, Libya and Yemen through North Korea.
2008: A Great Year for Madonna	Year 2008 Best for Madonna	2008 - Best for Madonna
The show was based on Madonna's album "Hard Candy" and featured a band of Ukrainian gypsies, or nomads, as well as a duet with Justin Timberlake.	This show was organized on the basis of Madonna's album 'Hard Candy'and there were also one or two songs with Ukraine's Gypsy or nomadic band and Justin Timberlake.	This show had been organized, based on Madonna's album 'Hard Candy' which included one or two performances with Ukraine's Gypsy or Bedouin Band and Justin Timberlan.
An old racing car was also placed onstage.	An old racing car was also placed on the stage during it.	In it, an old racing car was also placed on stage.
It was the most profitable show since that of Celine Dion in 2008, bringing in $236.6 million.	Celine Dion's was the second most successful show of the year 2008 with respect to the profit earned, which was 236,600,000.	Celine Dion's was the second most successful show of 2008 in terms of profit, in which $236.6 million was acquired.
While the Canadian show "Taking Chances" visited twenty-four countries, Madonna went to only seventeen countries as part of her first world tour in the last eight years.	The Canadian tour of 'Taking Chances' visited 24 countries, while Madonna went to only 17 countries - which was her first world tour in the last 8 years.	The Canadian show 'Taking Chances' toured 24 countries while Madonna only visited 17 countries, which was her first international tour during the last eight years.
Both singers' shows were directed by Jamie King, who had also organized the Spice Girls' "Reunion" tour.	The director of both the shows was Jimmy King, who had also done the arrangements for the 'Reunion' tour of the Spice Girls.	Jimmy King, who had organized the 'Reunion' tour for the 'Spice Girl,' was the director of both the singers' shows.
Madonna broke her own previous record set in 2006.	Madonna has broken her own record set in 2006.	Madonna has broken her own record set in 2006.
In 2006, she had earned $193.7 million from the "Confession" concerts.	In the year 2006 in "Confessions Tour" she made $193,700,000.	She had earned $193.7 million in 'Confession Concerts' in 2006.
Pollster declared Bon Jovi to be the third most successful singer, earning $176 million.	Pollstar has declared Bon Jovi, who made $176,000,000, the third most successful singer.	Pollstar declared Bon Jovi the third most successful singer, who had earned $176 million.
Bruce Springsteen came in fourth, earning $166 million, and the Police in fifth, with $120.6 million.	Bruce Springsteen came in 4th after making $166,000,000 and the Police remained in the 5th spot, and he made $120,600,000.	Bruce Springsteen took fourth position having earned $166 million and Police came in fifth with their share of $120.6 million.
According to Pollster, very few people attended concerts and vocal performances in North America in 2008; only those who were able to buy the expensive tickets.	According to this magazine, in the year 2008 very few people attended concerts and musical programs in North America and only the people who were ready to buy expensive tickets attended these programs.	According to this magazine, in 2008, very few people attended concerts and music shows in North America and only those attended these shows who were ready to buy costly tickets.
In America, the average ticket price increased by eight percent, and the highest-priced ticket for Madonna's show sold for $350.	On average, in America there was a rise of 8% in the price of a ticket and the most expensive ticket in Madonna's show was sold for $350.	On average, ticket prices increased by eight percent in America and the most expensive tickets for Madonna's show sold for $350.
Pollster's editor Gary Bongiovanni said that, taking into account the global economic slump, 2008 proved to be a good year for singers.	The editor of the magazine Pollstar, Gary Bongiovanni, has said that in the perspective of global economic recession, the year 2008 proved to be a good year for the singers.	Gary Bongiovanni, Editor of Pollstar, said that in view of international economic recession, 2008 has proved to be a good year for singers.
He has predicted that 2009 will be a good year for U2 and Springsteen, whose albums are soon to be released.	He predicted that the year 2009 would be a good year for U2 and Springsteen, whose albums are going to be released this year.	He predicted that 2009 will prove to be a good year for U2 and Springsteen whose albums are to be released this year.
Co-Education Banned: Taliban	Ban on Co-Education :Taliban	Co-education banned: Taliban
Local Taliban members of the Hafiz Gul Bahadur group have distributed a pamphlet in Miranshah, the capital of North Waziristan, and in other tehsils in which a threat has been made against government and semi-government educational institutions where boys and girls are provided with co-education.	In the capital of North Waziristan, Meeranshah, and other districts, the local Taliban of Hafiz Gul Bahadur group have distributed a pamphlet in which those governments and semi-government educational institutions who have co-education for boys and girls have been threatened.	Local Taliban of Hafiz Gul Bahadur group distributed pamphlets in Miranshah, the headquarter of North Waziristan, and other sub-districts, threatening those government and semi-government educational institutions where boys and girls are receiving co-education.
The pamphlet states that if co-ed institutions are not shut down by January 5, then action will be taken against them.	In the pamphlet, it has been said that if by January 5th, the co-education institutions are not closed, then action will be taken against them.	The pamphlet states that if co-educational institutions are not closed by 5th January, actions will be taken against them.
It also states that identity cards may not be issued to women for government assistance or any other educational purposes, and women are forbidden to go to the NADRA offices in all tehsils.	In the pamphlet, it has been said that there will be a prohibition on women from making identity cards for government welfare or other educational affairs, and women have been ordered not to go to NADRA's offices in all districts.	The pamphlet said that women would be banned from obtaining identity cards for government assistance and educational purposes and they have also banned women from going to the offices of NADRA in all districts.
This announcement forbidding the issuance of identity cards has been made at a time when approximately 200 women have submitted application forms at the NADRA offices to have their identity cards issued for the Benazir Income Support Program in North Waziristan.	The restriction on making identity cards on women has been announced by local Taliban at a point when in North Waziristan around 200 women have submitted forms for making identity cards in NADRA's offices for the Benazir Income Support Program.	Local Taliban have announced the ban on women from obtaining identity cards at a time when around 200 women in North Waziristan have submitted application forms for identity cards to the offices of NADRA for Benazir Income Support program.
According to the local people, the Taliban's pamphlet was read over the loudspeakers of all mosques in North Waziristan.	According to the local residents, the pamphlet issued by the Taliban was read over the loud speakers from all mosques in North Waziristan.	According to local people, the pamphlet issued by Taliban was read out on loudspeakers of all the mosques.
Nevertheless, it was not stated in writing whether separate educational institutions for girls will be banned or not.	However, in the letter it has not been mentioned whether or not there will also be a prohibition on the separate educational institution for girls.	However, it has not been mentioned in the letter whether or not separate educational institutions for girls will also be banned.
According to the pamphlet, if any woman is caught trying to get an education from school or her identity card from a NADRA office after this announcement, she and her family will be punished by religious law.	According to the pamphlet, after this announcement, if any women go to school or NADRA's office for education or for making an identity card -in case of apprehension, that woman and her family members will be subjected to punishment as per Shariah.	According to the pamphlet, if any woman is caught going to school for education or to the offices of NADRA for obtaining identity card, she and her family will be punished according to Shariah.
Police in the Bannu District also reported a landmine explosion Sunday on Bannu Miranshah road which killed one pedestrian and injured another.	Besides this, in Bannu District, police say that on Sunday, on Bannu Meeranshah Road, an explosive mine exploded, in which one pedestrian died and another one has been injured.	Moreover, according to the police of Bannu district, a landmine exploded on Miranshah Road, Bannu on Sunday, due to which one passerby was killed and another injured.
The injured victim was admitted to the Bannu Civil Hospital.	The injured have been admitted to Bannu Civil Hospital.	The injured person has been admitted to the Bannu Civil Hospital.
"Target Killing," More Dead Bodies Recovered	Target Killing, "More Dead Bodies Recovered"	'Target killing' More Bodies Found
According to the police, on Sunday morning at the Green and Sohrab intersections in the central city of Mingora, two decapitated bodies were found.	According to police, on Sunday morning from Green Chowk and Sohrab Khan Chowk, areas of the capital Mingora, two dead bodies that were decapitated have been found.	According to police, two beheaded bodies were found from Green Chowk and Sohrab Khan Chowk areas in the head quarter, Mingora.
The dead persons are said to be connected to the Frontier Corp and the police.	The victims are said to be from Frontier Corps and Police.	The victims are said to be from Frontier Corps and police.
Eyewitnesses say that a letter was also found near the dead bodies in which there was a warning that whoever should pick up the dead bodies before eleven o'clock in the morning would be responsible for his own death.	According to the eyewitnesses, a letter was found near the dead bodies in which it was warned that if anybody removed these dead bodies before 11 am, he would be responsible for his own death.	According to eyewitnesses, a letter was found near the bodies in which it was warned that if anyone removed the bodies before 11:00 am, he would be responsible for his own death.
Local people say that the dead bodies remained in the marketplace until eleven o'clock, but security workers later picked up the dead bodies and took them to the hospital.	According to the local residents, the dead bodies remained in the bazaar until 11 o'clock; however, later, the two bodies were transferred to the hospital by security personnel.	According to the local people, bodies kept lying in the market till 11:00 am, however, later, security personnel picked up both bodies and moved them to the hospital.
During the past few weeks, a dangerous increase in the incidents of target killing has been seen in Mingora and surrounding areas	In the last few weeks, a dangerous rise has been witnessed in the number of target killings in the capital Mingora and adjoining areas,	During the last few weeks, incidents of target killing have increased alarmingly in the headquarter, Mingora, and adjacent areas
in which common citizens including women and security workers have been killed.	in which common citizens including women, and security personnel have been killed.	in which ordinary civilians, including women and security personnel have been killed.
According to local sources, more than thirty people have been killed in such incidents.	According to local sources, more than 30 people have been killed in this type of incident.	According to local sources, more than 30 people have so far been killed in such incidents.
No organization has yet accepted responsibility for these killings.	As of now, no organization has accepted responsibility for these deaths.	No organization has yet accepted responsibility for these killings.
On Saturday, Muslim Khan, spokesperson of local Taliban members in Swat, told BBC that three dead bodies among those found on Friday were of his associates, including Devlai's Taliban Commander Rafiullah.	On Saturday, the spokesman of the local Taliban, Muslim Khan, told BBC that, of the bodies found on Friday, three were of his associates, one of which was that of Deolali Taliban's Commander Rafiullah.	Muslim Khan, spokesperson for the local Taliban in Swat, told BBC on Saturday that of the three bodies found on Friday, three were of his colleagues, including one of Deoli Taliban Commander, Rafiullah.
Muslim Khan said that Rafiullah was in the custody of security forces for the past month and a half.	Muslim Khan said that Rafiullah was in the custody of security forces for the last one-and-a-half months.	According to Muslim Khan, Rafiullah was in custody of the security forces for the last month and a half.
He said that local Taliban members issue a notice prior to killing someone; on the other hand, the general public has serious concern over these continued incidents in Mingora.	He said that whenever local Taliban kill anyone, they first issue him a notice. Meanwhile, serious concerns among common citizens have been noted about the incidents going on in Mingora.	He said that when local Taliban kill someone, they issue him a notice prior to it, while on the other hand, these incidents have caused great panic among ordinary citizens.
Local people say that a large number of security forces have been deployed in Mingora, but despite that, there are increasing attacks on civilians.	According to the local residents, a large number of security forces have been deployed in Mingora; nevertheless, the number of attacks on citizens is on the rise.	The local people say that although a large number of security forces personnel are stationed in Mingora, attacks on civilians are still increasing.
Bakhtawar's Tribute to Benazir in Song	Bakhtawar's Singing Tribute to Benazir	Bakhtawar's Song Pays Tribute to Benazir
A rap song (a style of modern music) recorded in Bakhtawar's voice has now even been posted on YouTube.	A rap song (a new genre in the modern music) recorded in the voice of Bakhtawar has also been posted on YouTube now.	A rap song (a modern style of music) recorded in Bakhtawar's voice has now been posted on YouTube as well.
Benazir Bhutto's pictures and video clips are shown during the five-minute song.	In this 5-minute song, pictures and video clips of Benazir Bhutto have also been included.	This five-minute song is illustrated with pictures and video clips of Benazir Bhutto.
Eighteen-year-old Bakhtawar is a student of Edinburgh University.	18-year-old Bakhtawar is a student of Edinburgh University.	Eighteen-year old Bakhtawar is a student of Edinburgh University.
She has a deep interest in poetry and singing.	She is deeply fond of poetry and singing.	She is deeply fond of poetry and singing.
It is said that apparently she started amateur singing after being encouraged by her mother.	It is being said that she apparently had started amateur singing after being encouraged by her mother.	It is being said that she started amateur singing apparently after her mother encouraged her.
While paying tribute to her mother she says, "You were intelligent and beautiful; you did everything in the same style."	While paying tribute to her mother she said, "You were intelligent and beautiful, you did everything in style."	Paying tribute to her mother, she says, 'You were intelligent and beautiful; you did everything in style.'
About the incident of December 27, she says that she was shot near the temple, leaving us at the age of fifty-four and leaving three children behind.	With reference to the incident of December 27, she has said that she was shot near the temple, left us at the age of 54, and is survived by three children.	About the incident of December 27, she has said: You received bullets close to temple of the head, abandoned us at 54, leaving three children behind.
The entire nation has no hope without her and she is present in all of their heartbeats.	The whole nation is in a state of hopelessness without you and you are in the heartbeats of all these people.	The entire nation is hopeless without you and you are present in their heartbeats.
Among Benazir's children, Bakhtawar is second after the twenty-year-old Bilawal Bhutto.	Of Benazir Bhutto's children, Bakhtawar is second after the 20-year-old Bilawal Bhutto.	Bakhtawar, after 20-years old Bilawal, is second among the children of Benazir Bhutto.
She has been taking an interest in music since the beginning.	She has taken interest in music from the beginning.	She has been fond of music from an early time.
It is said that before her mother's return to the country, she had expressed a wish to meet Grammy Award winner music producer and rapper Puff Daddy with the help of her journalist friend in America, but this meeting could not take place.	It is being said that before her mother returned to the country, she had expressed her wish to meet Grammy Award-winner, music producer, and rapper Puff Daddy in America through a journalist friend, but this meeting could not take place.	It is being said that before her mother returned to her homeland, she expressed her desire to meet the Grammy award winning music producer and rapper Puff Daddy through a journalist friend of her. But this meeting could not take place.
Several Sindhi newspapers published a translation of Bakhtawar's poetry, but her voice is being heard for the first time through YouTube.	Some Sindhi newspapers published the translation of Bakhtawar's poetry; however, her voice is being heard for the first time on YouTube.	Some Sindhi newspapers had also published the translation of Bakhtawar's poetry but her voice is being heard for first time through YouTube.
Some of the workers and fans of Benazir Bhutto have started making CDs of Bakhtawar's rap song.	Some workers and admirers of Benazir Bhutto have started making CDs of Bakhtawar's rap songs.	Some activists and sympathizers of Benazir Bhutto have started making CDs of Bakhtawar's rap song.
On the other hand, Farhatullah Babar, the spokesperson of Pakistan People's Party, has confirmed that the poetry and voice in the song on YouTube is Bakhtawar's.	On the other hand, the spokesman of Pakistan Peoples Party, Farhatullah Babar, has confirmed that the poetry and voice in the song present on YouTube are that of Bakhtawar.	Pakistan People's Party spokesperson Farhatullah Babar, on the other hand, has confirmed that the poetry and voice on YouTube is of Bakhtawar.
On the phone from Islamabad he said that this is a tribute of a grief-stricken daughter to her courageous mother which has also been aired on Pakistan's official television network.	He said from Islamabad over the telephone that this is a tribute from an aggrieved daughter to her courageous mother that has also been aired on the government TV network in Pakistan.	He said over phone from Islamabad that this is the tribute of a saddened daughter to her brave mother, which has been broadcasted on Pakistan's official TV Network as well.
Farhatullah Babar said that the program of distributing the CDs (etc.) of Bakhtawar's song has not yet been planned by his party.	Farhatullah Babar said that at this time his party has no program of distributing the CDs, etc. of Bakhtawar's songs.	Farhatullah Babar said that, at the moment his party had not made any plans to distribute CDs of Bakhtawar's song.
He said that a few months back a fake account of the young Chairman of his party, Bilawal Bhutto Zardari, was created on the Facebook website, which was later closed.	He said that a few months ago a fake account of the young Chairman of his party, Bilawal Bhutto Zardari, was created on Facebook, which was eliminated later on.	He said that a few months back, his party's young Chairman, Bilawal Bhutto's fake account was created on Facebook which has been deleted later.
Ajmal Kasab is Pakistani: Information Minister	Ajmal Qasab is in fact a Pakistani: Information Minister	Ajmal Kasab is Indeed Pakistani: Information Minister
The Federal Minister of Information and Broadcasting, Sherry Rehman, verifying the citizenship of Ajmal Kasab in an SMS message sent to BBC's Urdu Service, only said that further investigations are underway.	In an SMS message sent to BBC Urdu Service confirming the nationality of Ajamal Qasab, the Federal Minister of Information and Broadcasting, Sherry Rehman, just said this much that further investigations are underway.	Verifying Ajmal Kasab's citizenship, Federal Minister for Information and Broadcasting, Sherry Rehman, in an SMS message sent to BBC Urdu Service, had only this much to say, that further investigation is ongoing.
Prior to this, Rehman Malik, the Prime Minister's Adviser on Interior Affairs, had denied his Pakistani citizenship.	Earlier, the Prime Minister's Interior Advisor, Rehman Malik, had denied his Pakistani nationality.	Earlier, the Prime Minister's Interior Adviser, Rehman Malik, had denied that he was a Pakistani citizen.
He said that he had received no record of Ajmal from NADRA, the citizens' record-keeping institution.	He was saying that he had not found any record of Ajmal in NADRA,a department that keeps records of citizens.	He said that he did not find any record of Ajmal from NADRA, the institution that keeps records of citizens.
With respect to this recent announcement, it could not be determined on what grounds the government of Pakistan, now changing its position, has verified the citizenship of Ajmal Kasab.	For this latest announcement, it could not be known as to on what basis has the government of Pakistan confirmed the nationality of Ajmal Qasab by changing its earlier stand.	About the latest announcement, it is not yet known on what grounds has the government changed its position and verified the citizenship of Ajmal Kasab.
However, according to the spokesperson of the Ministry of Foreign Affairs, the Ministry of the Interior has verified Ajmal Kasab's citizenship.	However, according to the spokesman of the Foreign Ministry, the nationality of Ajamal Qasab has been confirmed by the Interior Ministry.	Nevertheless, according to the spokesperson of Foreign Ministry, citizenship of Ajmal Kasab has been confirmed by the Interior Ministry.
Prior to this, BBC's Urdu Service and a few other newspapers and TV channels had said that Ajmal Kasab is from the village of Faridkot in the Okara district of the Punjab province.	Earlier, BBC Urdu Service and some other newspapers and TV channels said that Ajaml Qasab belonged to the village Faridkot of Okara District in the province of Punjab.	Earlier, BBC Urdu Service and some other newspapers and TV channels had reported that Ajmal Kasab was related to Faridkot village in Okara District of the Punjab province.
However, the government continued to deny this.	Nonetheless, the government kept on denying this.	However, the government had been denying it.
It is not yet clear whether this Ajmal is from this particular Faridkot or from some other area.	It is still unclear whether this Ajmal belongs to the same Faridkot or to another place.	It is still not clear whether Ajmal is connect to the same Faridkot or some other area.
Rocket Fire from Lebanon; also Counter-bombing	Rocket Firing from Lebanon too; Counter Bombing	Rockets Fired from Lebanon Also, Bombardment in Retaliation
Officials of the Israeli army and the police have told media representatives that four rockets were launched at Israel from an area of Lebanon, one of which struck in the town of Nahariya in North Israel, causing two people to suffer minor injuries.	The Israeli Army and police officials have told the media representatives that four rockets have been fired from the Lebanon side into Israeli land, one of which landed in the Nahariya village of North Israel, causing minor injuries to two people.	Israeli forces and police authorities told media that four rockets were fired on Israeli territory from Lebanon of which one hit Nahariya, the northern Israeli town, mildly injuring two people.
